id,legacy_id,type,public_id,name,export,state,annotation_quality,description,cas_number,melting_point,protein_formula,protein_weight,experimental_solubility,experimental_logp,hydrophobicity,isoelectric_point,metabolism,kegg_compound_id,pubchem_compound_id,pubchem_substance_id,chebi_id,het_id,uniprot_id,uniprot_name,genbank_id,wikipedia_id,synthesis_citations,general_citations,comments,protein_structure_file_name,protein_structure_content_type,protein_structure_file_size,protein_structure_updated_at,msds_file_name,msds_content_type,msds_file_size,msds_updated_at,creator_id,updater_id,created_at,updated_at,phenolexplorer_id,dfc_id,hmdb_id,duke_id,drugbank_id,bigg_id,eafus_id,knapsack_id,boiling_point,boiling_point_reference,charge,charge_reference,density,density_reference,optical_rotation,optical_rotation_reference,percent_composition,percent_composition_reference,physical_description,physical_description_reference,refractive_index,refractive_index_reference,uv_index,uv_index_reference,experimental_pka,experimental_pka_reference,experimental_solubility_reference,experimental_logp_reference,hydrophobicity_reference,isoelectric_point_reference,melting_point_reference,moldb_alogps_logp,moldb_logp,moldb_alogps_logs,moldb_smiles,moldb_pka,moldb_formula,moldb_average_mass,moldb_inchi,moldb_mono_mass,moldb_inchikey,moldb_alogps_solubility,moldb_id,moldb_iupac,structure_source,duplicate_id,old_dfc_id,dfc_name,compound_source,flavornet_id,goodscent_id,superscent_id,phenolexplorer_metabolite_id,kingdom,superklass,klass,subklass,direct_parent,molecular_framework,chembl_id,chemspider_id,meta_cyc_id,foodcomex,phytohub_id
1,1,SmallMoleculeCompound,FDB000001,Mulberrofuran P,TRUE,,low,Constit. of Morus alba (white mulberry) [CCD],101365-02-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010-04-08 22:04:23 UTC,2015-07-20 21:30:19 UTC,,GMN82-P:GMN82-P,HMDB29235,,,,,,,,,,,,,,C 71.08%; H 3.86%; O 25.06%,DFC,,,,,,,,,,,,,,4.92,7.23509387,-3.87,CC1=C(O)C2=C3C(=C1)C1=C(O)C=C(C=C1OC3(OC1=C2C=CC(O)=C1)C1=C(O)C=C(O)C=C1)C1=CC2=C(O1)C(O)=CC=C2,8.385903227,C34H22O9,574.5331,"InChI=1S/C34H22O9/c1-15-9-21-29-25(39)10-17(26-11-16-3-2-4-23(37)33(16)41-26)12-28(29)43-34(22-8-6-18(35)13-24(22)38)31(21)30(32(15)40)20-7-5-19(36)14-27(20)42-34/h2-14,35-40H,1H3",574.1263823,InChIKey=FWGPZPDSNMFTHJ-UHFFFAOYSA-N,7.67e-02 g/l,31941,"1-(2,4-dihydroxyphenyl)-17-(7-hydroxy-1-benzofuran-2-yl)-11-methyl-2,20-dioxapentacyclo[11.7.1.0Œ_,?.0?,Œ_Œ_.0Œ_?,Œ_?]henicosa-3(8),4,6,9,11,13(21),14,16,18-nonaene-5,10,15-triol",HMDB_from_dfc,,,Mulberrofuran P,DFC,,,,,Organic compounds,Phenylpropanoids and polyketides,2-arylbenzofuran flavonoids,,2-arylbenzofuran flavonoids,Aromatic heteropolycyclic compounds,,,,,
4,4,SmallMoleculeCompound,FDB000004,Cyanidin 3-(6''-acetyl-galactoside),TRUE,,low,Constit. of the leaves of Nymphaea alba [CCD],350602-26-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010-04-08 22:04:24 UTC,2015-07-20 21:30:19 UTC,6,ODW39-O:OYT26-K,HMDB29236,,,,,,,,,,,,,,C 56.21%; H 4.72%; O 39.07%,CCD,,,,,,,,,,,,,,1.77,0.8161,-3.13,CC(=O)OC[C@H]1O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@H]1O,7.458,C23H23O12,491.4215,"InChI=1S/C23H22O12/c1-9(24)32-8-18-19(29)20(30)21(31)23(35-18)34-17-7-12-14(27)5-11(25)6-16(12)33-22(17)10-2-3-13(26)15(28)4-10/h2-7,18-21,23,29-31H,8H2,1H3,(H3-,25,26,27,28)/p+1/t18-,19+,20+,21-,23-/m1/s1",491.119,InChIKey=HBXXDBKJLPLXPR-DLBZZEGUSA-O,3.94e-01 g/l,80753,"3-{[(2S,3R,4S,5R,6R)-6-[(acetyloxy)methyl]-3,4,5-trihydroxyoxan-2-yl]oxy}-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-1$l^{4}-chromen-1-ylium",MANUAL,,,"3,3',4',5,7-Pentahydroxyflavylium(1+); 3-O-(6-O-Acetyl-b-D-galactopyranoside)",PHENOLEXPLORER,,,,,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Anthocyanidin-3-O-glycosides,Aromatic heteropolycyclic compounds,,,,,
13,22,SmallMoleculeCompound,FDB000013,Cyanidin 3-(6''-succinyl-glucoside),TRUE,,low,Constit. of Phragmites australis [CCD],216692-08-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010-04-08 22:04:24 UTC,2015-07-20 21:30:19 UTC,24,ODW39-O:GZY33-G,HMDB29237,,,,,,,,,,,,,,C 54.65%; H 4.59%; O 40.77%,CCD,,,,,,,,,,,,,,1.68,0.608,-3.21,O[C@@H]1[C@@H](COC(=O)CCC(O)=O)O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@H](O)[C@H]1O,6.3891,C25H25O14,549.4576,"InChI=1S/C25H24O14/c26-11-6-14(28)12-8-17(24(37-16(12)7-11)10-1-2-13(27)15(29)5-10)38-25-23(35)22(34)21(33)18(39-25)9-36-20(32)4-3-19(30)31/h1-2,5-8,18,21-23,25,33-35H,3-4,9H2,(H4-,26,27,28,29,30,31)/p+1/t18-,21-,22+,23-,25-/m1/s1",549.1244,InChIKey=MIYGQTFETYBMKF-WVXUANQFSA-O,3.63e-01 g/l,80754,"3-{[(2S,3R,4S,5S,6R)-6-{[(3-carboxypropanoyl)oxy]methyl}-3,4,5-trihydroxyoxan-2-yl]oxy}-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-1$l^{4}-chromen-1-ylium",MANUAL,,,"3,3',4',5,7-Pentahydroxyflavylium(1+); 3-O-(6-O-Succinoyl-b-D-glucopyranoside)",PHENOLEXPLORER,,,,,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Anthocyanidin-3-O-glycosides,Aromatic heteropolycyclic compounds,,,,,
14,23,SmallMoleculeCompound,FDB000014,Pelargonidin 3-(6''-succinyl-glucoside),TRUE,liquid,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010-04-08 22:04:24 UTC,2015-07-20 21:30:19 UTC,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72,0.8924,-3.36,O[C@@H]1[C@@H](COC(=O)CCC(O)=O)O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@H](O)[C@H]1O,6.3976,C25H25O13,533.4582,"InChI=1S/C25H24O13/c26-12-3-1-11(2-4-12)24-17(9-14-15(28)7-13(27)8-16(14)36-24)37-25-23(34)22(33)21(32)18(38-25)10-35-20(31)6-5-19(29)30/h1-4,7-9,18,21-23,25,32-34H,5-6,10H2,(H3-,26,27,28,29,30)/p+1/t18-,21-,22+,23-,25-/m1/s1",533.1295,InChIKey=UBUSYXLSGMWUJJ-WVXUANQFSA-O,2.49e-01 g/l,80799,"3-{[(2S,3R,4S,5S,6R)-6-{[(3-carboxypropanoyl)oxy]methyl}-3,4,5-trihydroxyoxan-2-yl]oxy}-5,7-dihydroxy-2-(4-hydroxyphenyl)-1$l^{4}-chromen-1-ylium",MANUAL,,,,PHENOLEXPLORER,,,,,,,,,,,,,,,
22,36,SmallMoleculeCompound,FDB000022,Cyanidin 3-O-(6''-acetyl-arabinoside),TRUE,,low,A polyphenol compound found in foods of plant origin [PhenolExplorer; Access personnal copy],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010-04-08 22:04:24 UTC,2015-07-20 21:30:19 UTC,38,,HMDB29238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.37,1.4886,-3.42,CC(=O)OC[C@H]1O[C@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@@H](O)[C@@H]1O,7.458,C22H21O11,461.3955,"InChI=1S/C22H20O11/c1-9(23)30-8-18-19(28)20(29)22(33-18)32-17-7-12-14(26)5-11(24)6-16(12)31-21(17)10-2-3-13(25)15(27)4-10/h2-7,18-20,22,28-29H,8H2,1H3,(H3-,24,25,26,27)/p+1/t18-,19-,20+,22+/m1/s1",461.1084,InChIKey=LKLWQWKPLGSQMZ-JBPLPALLSA-O,1.87e-01 g/l,80755,"3-{[(2R,3S,4S,5R)-5-[(acetyloxy)methyl]-3,4-dihydroxyoxolan-2-yl]oxy}-2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-1$l^{4}-chromen-1-ylium",MANUAL,,,,PHENOLEXPLORER,,,,,Organic compounds,Phenylpropanoids and polyketides,Flavonoids,Flavonoid glycosides,Anthocyanidin-3-O-glycosides,Aromatic heteropolycyclic compounds,,,,,
24,38,SmallMoleculeCompound,FDB000024,Petunidin 3-O-(6''-acetyl-galactoside),TRUE,,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010-04-08 22:04:24 UTC,2015-07-20 21:30:20 UTC,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,0.12,-3.17,COC1=CC(=CC(O)=C1O)C1=[O+]C2=C(C=C1OC1O[C@H](COC(C)=O)[C@H](O)[C@H](O)[C@H]1O)C(O)=CC(O)=C2,7.54,C24H25O13,521.4475,"InChI=1S/C24H24O13/c1-9(25)34-8-18-20(30)21(31)22(32)24(37-18)36-17-7-12-13(27)5-11(26)6-15(12)35-23(17)10-3-14(28)19(29)16(4-10)33-2/h3-7,18,20-22,24,30-32H,8H2,1-2H3,(H3-,26,27,28,29)/p+1/t18-,20+,21+,22-,24?/m1/s1",521.1295159,InChIKey=GPUBWXUQPURXOQ-SKKXNPCDSA-O,3.80e-01 g/l,27777,"3-{[(3R,4S,5R,6R)-6-[(acetyloxy)methyl]-3,4,5-trihydroxyoxan-2-yl]oxy}-2-(3,4-dihydroxy-5-methoxyphenyl)-5,7-dihydroxy-1$l^{4}-chromen-1-ylium",MANUAL,,,,PHENOLEXPLORER,,,,,,,,,,,,,,,
25,39,SmallMoleculeCompound,FDB000025,Peonidin 3-(6''-acetyl-galactoside),TRUE,,low,,75-07-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010-04-08 22:04:24 UTC,2017-04-03 04:56:47 UTC,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,0.41,-3.29,COC1=C(O)C=CC(=C1)C1=[O+]C2=C(C=C1OC1O[C@H](COC(C)=O)[C@H](O)[C@H](O)[C@H]1O)C(O)=CC(O)=C2,7.54,C24H25O12,505.4481,"InChI=1S/C24H24O12/c1-10(25)33-9-19-20(29)21(30)22(31)24(36-19)35-18-8-13-15(28)6-12(26)7-16(13)34-23(18)11-3-4-14(27)17(5-11)32-2/h3-8,19-22,24,29-31H,9H2,1-2H3,(H2-,26,27,28)/p+1/t19-,20+,21+,22-,24?/m1/s1",505.1346013,InChIKey=MBSKDCPWFSMEFD-ZKVZURMCSA-O,2.75e-01 g/l,27774,"3-{[(3R,4S,5R,6R)-6-[(acetyloxy)methyl]-3,4,5-trihydroxyoxan-2-yl]oxy}-5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-1$l^{4}-chromen-1-ylium",MANUAL,,,,PHENOLEXPLORER,,,,,,,,,,,,,,,
27,41,SmallMoleculeCompound,FDB000027,Malvidin 3-(6''-acetyl-galactoside),TRUE,,low,,75-07-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010-04-08 22:04:24 UTC,2017-04-03 04:56:58 UTC,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.01,0.16,-3.31,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C(C=C1OC1O[C@H](COC(C)=O)[C@H](O)[C@H](O)[C@H]1O)C(O)=CC(O)=C2,7.42,C25H27O13,535.4741,"InChI=1S/C25H26O13/c1-10(26)35-9-19-21(30)22(31)23(32)25(38-19)37-18-8-13-14(28)6-12(27)7-15(13)36-24(18)11-4-16(33-2)20(29)17(5-11)34-3/h4-8,19,21-23,25,30-32H,9H2,1-3H3,(H2-,27,28,29)/p+1/t19-,21+,22+,23-,25?/m1/s1",535.145166,InChIKey=WGYWEDJQQFKGID-ZTKYFMRJSA-O,2.81e-01 g/l,27770,"3-{[(3R,4S,5R,6R)-6-[(acetyloxy)methyl]-3,4,5-trihydroxyoxan-2-yl]oxy}-5,7-dihydroxy-2-(4-hydroxy-3,5-dimethoxyphenyl)-1$l^{4}-chromen-1-ylium",MANUAL,,,,PHENOLEXPLORER,,,,,,,,,,,,,,,
31,45,SmallMoleculeCompound,FDB000031,Pelargonidin 3-arabinoside,TRUE,liquid,low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010-04-08 22:04:24 UTC,2015-07-20 21:30:20 UTC,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.62,1.3439,-3.2,OC[C@H]1O[C@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@@H](O)[C@@H]1O,7.5359,C20H19O9,403.3595,"InChI=1S/C20H18O9/c21-8-16-17(25)18(26)20(29-16)28-15-7-12-13(24)5-11(23)6-14(12)27-19(15)9-1-3-10(22)4-2-9/h1-7,16-18,20-21,25-26H,8H2,(H2-,22,23,24)/p+1/t16-,17-,18+,20+/m1/s1",403.1029,InChIKey=BGOQMKHOLJPANL-XSYGEPLQSA-O,2.78e-01 g/l,80800,"3-{[(2R,3S,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]oxy}-5,7-dihydroxy-2-(4-hydroxyphenyl)-1$l^{4}-chromen-1-ylium",MANUAL,,,,PHENOLEXPLORER,,,,,,,,,,,,,,,
35,49,SmallMoleculeCompound,FDB000035,Peonidin 3-(6''-p-coumaroyl-glucoside),TRUE,,low,,147-85-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2010-04-08 22:04:24 UTC,2017-04-03 04:56:47 UTC,52,,,PAEONIDIN-3-(6-P-COUMAROYLGLUCOSIDE),,,,,,,,,,,,,,,,,,,,,,,,,,,,3.41,3.39,-4.3,COC1=C(O)C=CC(=C1)C1=[O+]C2=C(C=C1OC1O[C@H](COC(=O)\C=C\C3=CC=C(O)C=C3)[C@@H](O)[C@H](O)[C@H]1O)C(O)=CC(O)=C2,7.53,C31H29O13,609.5542,"InChI=1S/C31H28O13/c1-40-23-10-16(5-8-20(23)34)30-24(13-19-21(35)11-18(33)12-22(19)42-30)43-31-29(39)28(38)27(37)25(44-31)14-41-26(36)9-4-15-2-6-17(32)7-3-15/h2-13,25,27-29,31,37-39H,14H2,1H3,(H3-,32,33,34,35,36)/p+1/t25-,27-,28+,29-,31?/m1/s1",609.160816,InChIKey=MFHMTMFSFNMTFQ-RJBRRTDCSA-O,3.20e-02 g/l,27776,"5,7-dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-3-{[(3R,4S,5S,6R)-3,4,5-trihydroxy-6-({[(2E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxy}methyl)oxan-2-yl]oxy}-1$l^{4}-chromen-1-ylium",MANUAL,,,,PHENOLEXPLORER,,,,,,,,,,,,,,,
